,city,date,SO2,O3,NO2,PM10,PM25,avg temp,max temp,min temp,rain,wind,humid
143,충북,2021-09-05,0.0014666666666666,0.0246666666666666,0.0054333333333333,13.5,6.0,20.53333333333333,25.666666666666668,15.2,0.75,1.3,76.83333333333333
144,강원,2021-08-12,0.0021666666666666,0.0263333333333333,0.0027333333333333,18.0,6.333333333333333,25.0,28.83333333333333,21.666666666666668,NaN,1.3,82.06666666666666
145,경기,2021-08-12,0.0023,0.0403333333333333,0.0164666666666666,32.666666666666664,22.0,25.96666666666667,31.066666666666663,21.866666666666664,0.0,1.1,77.76666666666667
146,경남,2021-08-12,0.002,0.032,0.0068,NaN,NaN,24.9,30.35,20.7,0.4,0.95,85.0
147,경북,2021-08-12,0.0024333333333333,0.0316666666666666,0.0081,25.0,13.666666666666666,25.4,31.0,21.0,NaN,0.9,78.55
148,광주,2021-08-12,0.0031333333333333,0.0346666666666666,0.0111666666666666,25.0,17.666666666666668,26.3,30.3,22.8,0.6,1.0,84.8
149,대구,2021-08-12,0.0011666666666666,0.0376666666666666,0.0079666666666666,30.33333333333333,14.0,26.1,30.9,21.6,0.0,2.4,71.3
150,대전,2021-08-12,0.0025666666666666,0.0426666666666666,0.0126333333333333,25.33333333333333,18.0,27.6,32.3,23.7,NaN,1.1,76.5
151,부산,2021-08-12,0.0035666666666666,0.0423333333333333,0.0132333333333333,19.0,10.0,26.3,29.9,23.4,0.2,2.3,80.5
152,서울,2021-08-12,0.0024,0.044,0.0147,36.0,26.0,26.8,31.7,24.0,0.0,1.8,67.1
153,울산,2021-08-12,0.0016333333333333,0.0306666666666666,0.0085666666666666,20.0,11.333333333333334,24.8,29.7,20.7,1.4,1.6,89.4
154,인천,2021-08-12,0.0029666666666666,0.047,0.0223,39.0,27.33333333333333,27.1,30.2,24.4,NaN,2.1,61.6
155,전남,2021-08-12,0.0032666666666666,0.031,0.0050666666666666,23.666666666666668,11.333333333333334,26.03333333333333,30.166666666666668,22.1,0.0,1.7666666666666668,80.26666666666667
156,전북,2021-08-12,0.0025666666666666,0.0393333333333333,0.0074333333333333,34.0,23.666666666666668,25.73333333333333,31.866666666666664,22.33333333333333,1.933333333333333,1.1333333333333333,81.53333333333333
157,제주,2021-08-12,0.0014333333333333,0.039,0.0078333333333333,11.333333333333334,5.0,25.4,28.4,23.65,29.4,1.4,91.4
158,충남,2021-08-12,0.0036666666666666,0.0486666666666666,0.0091333333333333,38.333333333333336,28.0,25.933333333333334,32.13333333333333,21.83333333333333,0.9,1.0,78.06666666666666
